source_verse,target_verse,votes
"Psalms 106:37","2 Kings 17:17",7
"Psalms 106:37","Jeremiah 7:31",6
"Psalms 106:37","1 Corinthians 10:20",4
"Psalms 106:37","Leviticus 17:7",3
"Psalms 106:37","Ezekiel 23:47",2
"Psalms 106:37","Ezekiel 23:37",4
"Psalms 106:37","Deuteronomy 32:17",6
"Psalms 106:37","Jeremiah 32:35",3
"Psalms 106:37","2 Chronicles 11:15",2
"Psalms 106:37","2 Kings 16:3",7
"Psalms 106:37","Deuteronomy 18:10",3
"Psalms 106:37","Romans 9:20",2
"Psalms 106:37","Isaiah 57:5",3
"Psalms 106:38","Ezekiel 22:3",4
"Psalms 106:38","2 Kings 24:4",4
"Psalms 106:38","Jeremiah 2:34",4
"Psalms 106:38","Isaiah 1:15",4
"Psalms 106:38","Deuteronomy 21:9",5
"Psalms 106:38","Isaiah 26:21",5
"Psalms 106:38","Numbers 35:33",6
"Psalms 106:38","Ezekiel 7:23",4
"Psalms 106:38","2 Kings 21:16",5
"Psalms 106:38","Isaiah 24:5",4
"Psalms 106:39","Ezekiel 20:43",3
"Psalms 106:39","Hosea 9:1",3
"Psalms 106:39","Ezekiel 20:18",6
"Psalms 106:39","Exodus 34:16",2
"Psalms 106:39","Leviticus 17:7",4
"Psalms 106:39","Numbers 15:39",4
"Psalms 106:39","Isaiah 59:3",3
"Psalms 106:40","Leviticus 20:23",2
"Psalms 106:40","Psalms 74:1",2
"Psalms 106:40","Judges 2:20",3
"Psalms 106:40","Zechariah 11:8",2
"Psalms 106:40","Judges 3:8",3
"Psalms 106:40","Deuteronomy 32:19",3
"Psalms 106:40","Deuteronomy 9:29",4
"Psalms 106:40","Lamentations 2:7",2
"Psalms 106:40","Judges 2:14",5
"Psalms 106:41","Deuteronomy 28:25",2
"Psalms 106:41","Judges 3:12",3
"Psalms 106:41","Deuteronomy 28:29",2
"Psalms 106:41","Deuteronomy 32:30",2
"Psalms 106:41","Judges 3:8",3
"Psalms 106:41","Deuteronomy 28:48",2
"Psalms 106:41","Judges 2:14",4
"Psalms 106:41","Deuteronomy 28:33",2
"Psalms 106:42","Judges 4:3",2
"Psalms 106:42","Judges 10:12",2
"Psalms 106:43","1 Samuel 13:19",1
"Psalms 106:43","Judges 6:5",1
"Psalms 106:43","Psalms 1:1",4
"Psalms 106:43","Psalms 106:29",2
"Psalms 106:43","Judges 5:8",1
"Psalms 106:43","Psalms 81:12",7
"Psalms 106:44","Judges 4:3",5
"Psalms 106:44","Judges 2:18",3
"Psalms 106:44","Judges 3:9",7
"Psalms 106:45","Exodus 32:14",5
"Psalms 106:45","Psalms 51:1",4
"Psalms 106:45","2 Samuel 24:16",2
"Psalms 106:45","Psalms 105:8",7
"Psalms 106:45","Hosea 11:8",3
"Psalms 106:45","Judges 2:18",5
"Psalms 106:45","Lamentations 3:32",5
"Psalms 106:45","Amos 7:3",2
"Psalms 106:45","Amos 7:6",2
"Psalms 106:45","Psalms 135:14",2
"Psalms 106:45","Deuteronomy 32:36",2
"Psalms 106:45","Psalms 69:16",4
"Psalms 106:45","Psalms 90:13",3
"Psalms 106:45","2 Kings 13:23",6
"Psalms 106:45","Isaiah 63:7",4
"Psalms 106:46","2 Chronicles 30:9",2
"Psalms 106:46","1 Kings 8:50",4
"Psalms 106:46","Nehemiah 1:11",3
"Psalms 106:46","Ezra 9:9",5
"Psalms 106:46","Jeremiah 42:12",5
"Psalms 106:46","Jeremiah 15:11",4
"Psalms 106:47","Psalms 126:1",2
"Psalms 106:47","2 Corinthians 2:14",4
"Psalms 106:47","Psalms 14:7",3
"Psalms 106:47","Psalms 147:2",2
"Psalms 106:48","1 Chronicles 29:10",3
"Psalms 106:48","1 Corinthians 14:16",2
"Psalms 106:48","Psalms 41:13",7
"Psalms 106:48","Psalms 89:52",5
"Psalms 107:1","1 Chronicles 16:34",27
"Psalms 107:1","Psalms 103:17",11
"Psalms 107:1","Psalms 118:1",15
"Psalms 107:1","2 Chronicles 5:13",10
"Psalms 107:1","Psalms 106:1",25
"Psalms 107:1","Matthew 19:17",8
"Psalms 107:1","Luke 1:50",16
"Psalms 107:1","1 Chronicles 16:41",11
"Psalms 107:1","Psalms 119:68",11
"Psalms 107:1","Psalms 100:5",17
"Psalms 107:1","2 Chronicles 7:3",20
"Psalms 107:1","Psalms 105:1",19
"Psalms 107:1","2 Chronicles 20:21",11
"Psalms 107:1","2 Chronicles 7:6",14
"Psalms 107:2","Isaiah 35:9",8
"Psalms 107:2","Luke 24:21",4
"Psalms 107:2","Luke 1:68",8
"Psalms 107:2","Psalms 130:8",4
"Psalms 107:2","Jeremiah 31:11",6
"Psalms 107:2","Titus 2:14",10
"Psalms 107:2","Isaiah 43:1",8
"Psalms 107:2","Micah 4:10",1
"Psalms 107:2","Isaiah 44:22",9
"Psalms 107:2","Isaiah 62:12",6
"Psalms 107:2","Luke 1:74",18
"Psalms 107:2","Galatians 3:13",16
"Psalms 107:2","Deuteronomy 7:8",7
"Psalms 107:2","Deuteronomy 15:15",5
"Psalms 107:2","Exodus 15:16",5
"Psalms 107:2","Jeremiah 15:21",6
"Psalms 107:2","Isaiah 63:4",4
"Psalms 107:2","Psalms 106:10",13
"Psalms 107:2","Psalms 31:5",13
"Psalms 107:3","Ezekiel 39:27",3
"Psalms 107:3","Isaiah 56:8",2
"Psalms 107:3","Deuteronomy 30:3",3
"Psalms 107:3","Jeremiah 31:8",3
"Psalms 107:3","Isaiah 49:12",2
"Psalms 107:3","Jeremiah 31:10",3
"Psalms 107:3","Ezekiel 20:34",2
"Psalms 107:3","Revelation 5:9",7
